ablation_id,condition,generation,source_generation,benchmark_stratum,prior_objective,retained_objective,prior_uar,retained_uar,retention_score,forgetting,objective_noninferior,safety_noninferior,catastrophic_interference,passed
A0,fresh,2,1,domain_leave_out,0.6944387216113838,0.6944387216113838,0.003952569169960474,0.003952569169960474,1.0,0.0,True,True,0,True
A0,fresh,2,1,generator_leave_out,0.6868667724672894,0.6868667724672894,0.008645533141210375,0.008645533141210375,1.0,0.0,True,True,0,True
A0,fresh,2,1,long_horizon_recurrence,0.6761842591527767,0.6761842591527767,0.004212299915754001,0.004212299915754001,1.0,0.0,True,True,0,True
A0,fresh,2,1,policy_semantic_transfer,0.7293816168821746,0.7293816168821746,0.0036529680365296802,0.0036529680365296802,1.0,0.0,True,True,0,True
A0,fresh,3,2,corruption_composition_leave_out,0.6331426118326119,0.6331426118326119,0.0019588638589618022,0.0019588638589618022,1.0,0.0,True,True,0,True
A0,fresh,3,2,corruption_family_leave_out,0.6699967038321578,0.6699967038321578,0.005982053838484547,0.005982053838484547,1.0,0.0,True,True,0,True
A0,fresh,3,2,domain_leave_out,0.6790695548537484,0.6790695548537484,0.0027272727272727275,0.0027272727272727275,1.0,0.0,True,True,0,True
A0,fresh,3,2,generator_leave_out,0.6463341041196834,0.6463341041196834,0.0056179775280898875,0.0056179775280898875,1.0,0.0,True,True,0,True
A0,fresh,3,2,long_horizon_recurrence,0.6955769021692162,0.6955769021692162,0.004280821917808219,0.004280821917808219,1.0,0.0,True,True,0,True
A0,fresh,3,2,policy_semantic_transfer,0.660607253793059,0.660607253793059,0.002640845070422535,0.002640845070422535,1.0,0.0,True,True,0,True
A1,cumulative,2,1,corruption_composition_leave_out,0.599936026886728,0.6683139374241185,0.01968503937007874,0.014763779527559055,1.1139753364908367,0.0,True,True,0,True
A1,cumulative,2,1,corruption_family_leave_out,0.5712566030535547,0.6666764478812194,0.030501089324618737,0.014161220043572984,1.167034996738093,0.0,True,True,0,True
A1,cumulative,2,1,domain_leave_out,0.5554692352422813,0.6209877953867584,0.024703557312252964,0.020750988142292492,1.1179517351953787,0.0,True,True,0,True
A1,cumulative,2,1,generator_leave_out,0.6082386153455339,0.6703739211966515,0.01729106628242075,0.012487992315081652,1.1021561345884283,0.0,True,True,0,True
A1,cumulative,2,1,long_horizon_recurrence,0.5496932846871012,0.6304261454560872,0.02358887952822241,0.012636899747262006,1.1468689231212659,0.0,True,True,0,True
A1,cumulative,2,1,policy_semantic_transfer,0.5991895023637012,0.6633656466279522,0.024657534246575342,0.02009132420091324,1.1071049209158155,0.0,True,True,0,True
A1,cumulative,3,2,corruption_composition_leave_out,0.5774223693117027,0.5774223693117027,0.011753183153770812,0.011753183153770812,1.0,0.0,True,True,0,True
A1,cumulative,3,2,corruption_family_leave_out,0.6317141870547467,0.6317141870547467,0.013958125623130608,0.013958125623130608,1.0,0.0,True,True,0,True
A1,cumulative,3,2,domain_leave_out,0.6210635075171431,0.6210635075171431,0.014545454545454545,0.014545454545454545,1.0,0.0,True,True,0,True
A1,cumulative,3,2,generator_leave_out,0.6002852934761386,0.6002852934761386,0.015730337078651686,0.015730337078651686,1.0,0.0,True,True,0,True
A1,cumulative,3,2,long_horizon_recurrence,0.6584166535302625,0.6584166535302625,0.0136986301369863,0.0136986301369863,1.0,0.0,True,True,0,True
A1,cumulative,3,2,policy_semantic_transfer,0.6079428298199878,0.6079428298199878,0.013204225352112676,0.013204225352112676,1.0,0.0,True,True,0,True
A1,fresh,2,1,corruption_composition_leave_out,0.599936026886728,0.599936026886728,0.01968503937007874,0.01968503937007874,1.0,0.0,True,True,0,True
A1,fresh,2,1,corruption_family_leave_out,0.5712566030535547,0.5712566030535547,0.030501089324618737,0.030501089324618737,1.0,0.0,True,True,0,True
A1,fresh,2,1,domain_leave_out,0.5554692352422813,0.5554692352422813,0.024703557312252964,0.024703557312252964,1.0,0.0,True,True,0,True
A1,fresh,2,1,generator_leave_out,0.6082386153455339,0.6082386153455339,0.01729106628242075,0.01729106628242075,1.0,0.0,True,True,0,True
A1,fresh,2,1,long_horizon_recurrence,0.5496932846871012,0.5496932846871012,0.02358887952822241,0.02358887952822241,1.0,0.0,True,True,0,True
A1,fresh,2,1,policy_semantic_transfer,0.5991895023637012,0.5991895023637012,0.024657534246575342,0.024657534246575342,1.0,0.0,True,True,0,True
A1,fresh,3,2,corruption_composition_leave_out,0.540064761006574,0.540064761006574,0.01665034280117532,0.01665034280117532,1.0,0.0,True,True,0,True
A1,fresh,3,2,corruption_family_leave_out,0.5747247991190576,0.5747247991190576,0.02193419740777667,0.02193419740777667,1.0,0.0,True,True,0,True
A1,fresh,3,2,domain_leave_out,0.5502458447122213,0.5502458447122213,0.026363636363636363,0.026363636363636363,1.0,0.0,True,True,0,True
A1,fresh,3,2,generator_leave_out,0.5465058189894818,0.5465058189894818,0.019101123595505618,0.019101123595505618,1.0,0.0,True,True,0,True
A1,fresh,3,2,long_horizon_recurrence,0.5509955038585036,0.5509955038585036,0.02910958904109589,0.02910958904109589,1.0,0.0,True,True,0,True
