ablation_id,generation,benchmark_stratum,reset_type,paired_worlds,transfer_gain,forward_transfer,cold_start_reduction,learning_acceleration_ttr,learning_acceleration_ttd,learning_acceleration_ttd_status,negative_transfer_rate,catastrophic_governance_interference,scope_leakage_delta,recurrence_error_delta,objective_delta_ci_low,objective_delta_ci_high
A10,2,corruption_family_leave_out,adversarial,13,0.001230769230769232,0.0012307692307692575,0.0,1.0,,undefined_no_harm_detected,0.0,0.0,0.004615384615384616,0.0,0.0,0.0036923076923076957
A10,2,corruption_family_leave_out,structural,18,0.019604938271604967,0.019604938271605032,0.02361111111111111,1.043010752688172,,undefined_world_aggregate_has_no_decision_timestamp,0.05555555555555555,0.0,0.011111111111111112,0.0,-0.01737777777777773,0.052769444444444466
A10,2,corruption_family_leave_out,surface,19,-0.07067406157061329,-0.07067406157061318,0.018684210526315775,1.0,,undefined_world_aggregate_has_no_decision_timestamp,0.5263157894736842,0.05263157894736842,0.0,0.10526315789473684,-0.1531195665149412,0.002739599690725948
A10,2,domain_leave_out,adversarial,19,0.0016842105263158026,0.0016842105263158436,0.0017105263157894401,1.0,,undefined_no_harm_detected,0.0,0.0,0.002105263157894737,0.0,0.0,0.004210526315789513
A10,2,domain_leave_out,structural,11,0.023272727272727275,0.023272727272727334,0.005909090909090892,1.0,,undefined_no_harm_detected,0.0,0.0,0.02,0.0,0.014545454545454568,0.033454545454545424
A10,2,domain_leave_out,surface,20,0.0008412529911390298,0.0008412529911390187,0.032375000000000015,0.9900990099009901,,undefined_world_aggregate_has_no_decision_timestamp,0.3,0.05,0.0,0.15,-0.06887077657875341,0.05178803427419353
A10,2,generator_leave_out,adversarial,14,0.0011428571428571319,0.0011428571428571122,0.0,1.0,,undefined_no_harm_detected,0.0,0.0,0.002857142857142857,0.0,0.0,0.003428571428571396
A10,2,generator_leave_out,structural,22,0.01995594400174728,0.019955944001747383,0.016136363636363643,1.0,,undefined_world_aggregate_has_no_decision_timestamp,0.045454545454545456,0.0,0.012727272727272728,0.0,-0.005502410468319604,0.04023695652173916
A10,2,generator_leave_out,surface,14,0.025488984787159465,0.02548898478715944,0.03660714285714284,1.1285714285714286,,undefined_world_aggregate_has_no_decision_timestamp,0.21428571428571427,0.0,0.0,0.14285714285714285,-0.017970675319022477,0.06555717068501088
A10,2,long_horizon_recurrence,adversarial,10,0.0,0.0,0.0,1.0,,undefined_no_harm_detected,0.0,0.0,0.002,0.0,0.0,0.0
